,metricName,time,count,total,minimum,maximum,average,queue,metric
0,d2c.telemetry.ingress.allProtocol,2021-12-20T00:00:00.0000000Z,527,527,1.0,1.0,1.0,Not.classified,Not.verified
1,d2c.telemetry.ingress.allProtocol,2021-12-20T00:01:00.0000000Z,557,557,1.0,1.0,1.0,Not.classified,Not.verified
2,d2c.telemetry.ingress.allProtocol,2021-12-20T00:02:00.0000000Z,575,575,1.0,1.0,1.0,Not.classified,Not.verified
3,d2c.telemetry.ingress.success,2021-12-20T00:00:00.0000000Z,527,527,1.0,1.0,1.0,Not.classified,Not.verified
4,d2c.telemetry.ingress.success,2021-12-20T00:01:00.0000000Z,557,557,1.0,1.0,1.0,Not.classified,Not.verified
5,d2c.telemetry.ingress.success,2021-12-20T00:02:00.0000000Z,575,575,1.0,1.0,1.0,Not.classified,Not.verified
6,devices.totalDevices,2021-12-20T00:00:00.0000000Z,12,14,1.0,2.0,1.16666666666667,Tx.tec.performance.computer-elements.CPU,Number of devices registered
7,devices.totalDevices,2021-12-20T00:01:00.0000000Z,12,14,1.0,2.0,1.16666666666667,Tx.tec.performance.computer-elements.CPU,Number of devices registered
8,devices.totalDevices,2021-12-20T00:02:00.0000000Z,12,14,1.0,2.0,1.16666666666667,Tx.tec.performance.computer-elements.CPU,Number of devices registered
9,devices.connectedDevices.allProtocol,2021-12-20T00:00:00.0000000Z,11,13,1.0,2.0,1.18181818181818,Tx.tec.performance.computer-elements.CPU,Number of devices connected
10,devices.connectedDevices.allProtocol,2021-12-20T00:01:00.0000000Z,11,13,1.0,2.0,1.18181818181818,Tx.tec.performance.computer-elements.CPU,Number of devices connected
11,devices.connectedDevices.allProtocol,2021-12-20T00:02:00.0000000Z,11,13,1.0,2.0,1.18181818181818,Tx.tec.performance.computer-elements.CPU,Number of devices connected
12,d2c.telemetry.egress.success,2021-12-20T00:00:00.0000000Z,389,3095,1.0,30.0,7.95629820051414,Tx.tec.performance.protocols.NETWORK,Number of messages successfully delivered to an endpoint (Messages/Evevnts)
13,d2c.telemetry.egress.success,2021-12-20T00:01:00.0000000Z,415,3341,1.0,30.0,8.05060240963855,Tx.tec.performance.protocols.NETWORK,Number of messages successfully delivered to an endpoint (Messages/Evevnts)
14,d2c.telemetry.egress.success,2021-12-20T00:02:00.0000000Z,424,3562,1.0,30.0,8.40094339622642,Tx.tec.performance.protocols.NETWORK,Number of messages successfully delivered to an endpoint (Messages/Evevnts)
15,d2c.telemetry.egress.fallback,2021-12-20T00:00:00.0000000Z,3059,3059,1.0,1.0,1.0,Tx.tec.performance.protocols.NETWORK,Number of messages sent
16,d2c.telemetry.egress.fallback,2021-12-20T00:01:00.0000000Z,3305,3305,1.0,1.0,1.0,Tx.tec.performance.protocols.NETWORK,Number of messages sent
17,d2c.telemetry.egress.fallback,2021-12-20T00:02:00.0000000Z,3526,3526,1.0,1.0,1.0,Tx.tec.performance.protocols.NETWORK,Number of messages sent
18,d2c.endpoints.egress.eventHubs,2021-12-20T00:00:00.0000000Z,23,36,1.0,2.0,1.56521739130435,,
19,d2c.endpoints.egress.eventHubs,2021-12-20T00:01:00.0000000Z,20,36,1.0,2.0,1.8,,
20,d2c.endpoints.egress.eventHubs,2021-12-20T00:02:00.0000000Z,25,38,1.0,2.0,1.52,,
21,d2c.endpoints.latency.eventHubs,2021-12-20T00:00:00.0000000Z,23,3390,44.0,273.0,147.391304347826,,
22,d2c.endpoints.latency.eventHubs,2021-12-20T00:01:00.0000000Z,20,2826,32.0,611.0,141.3,,
23,d2c.endpoints.latency.eventHubs,2021-12-20T00:02:00.0000000Z,25,3120,40.0,218.0,124.8,,
24,d2c.endpoints.egress.builtIn.events,2021-12-20T00:00:00.0000000Z,366,3059,1.0,30.0,8.35792349726776,Tx.tec.performance.protocols.NETWORK,Number of messages successfully delivered to an endpoint (Messages/Evevnts)
25,d2c.endpoints.egress.builtIn.events,2021-12-20T00:01:00.0000000Z,395,3305,1.0,30.0,8.36708860759494,Tx.tec.performance.protocols.NETWORK,Number of messages successfully delivered to an endpoint (Messages/Evevnts)
26,d2c.endpoints.egress.builtIn.events,2021-12-20T00:02:00.0000000Z,399,3524,1.0,30.0,8.83208020050125,Tx.tec.performance.protocols.NETWORK,Number of messages successfully delivered to an endpoint (Messages/Evevnts)
27,d2c.endpoints.latency.builtIn.events,2021-12-20T00:00:00.0000000Z,366,40467,13.0,243.0,110.565573770492,Tx.tec.performance.protocols.NETWORK,Latency time between sending and arriving at an endpoint
28,d2c.endpoints.latency.builtIn.events,2021-12-20T00:01:00.0000000Z,395,43289,8.0,252.0,109.592405063291,Tx.tec.performance.protocols.NETWORK,Latency time between sending and arriving at an endpoint
29,d2c.endpoints.latency.builtIn.events,2021-12-20T00:02:00.0000000Z,399,44015,14.0,288.0,110.31328320802,Tx.tec.performance.protocols.NETWORK,Latency time between sending and arriving at an endpoint
30,RoutingDeliveries,2021-12-20T00:00:00.0000000Z,389,3095,1.0,30.0,7.95629820051414,Not.classified,Not.verified
31,RoutingDeliveries,2021-12-20T00:01:00.0000000Z,415,3341,1.0,30.0,8.05060240963855,Not.classified,Not.verified
32,RoutingDeliveries,2021-12-20T00:02:00.0000000Z,424,3562,1.0,30.0,8.40094339622642,Not.classified,Not.verified
33,RoutingDeliveryLatency,2021-12-20T00:00:00.0000000Z,389,43857,13.0,273.0,112.74293059126,Tx.tec.performance.protocols.HOST,Latency time for Sending a Message
34,RoutingDeliveryLatency,2021-12-20T00:01:00.0000000Z,415,46115,8.0,611.0,111.120481927711,Tx.tec.performance.protocols.HOST,Latency time for Sending a Message
35,RoutingDeliveryLatency,2021-12-20T00:02:00.0000000Z,424,47135,14.0,288.0,111.167452830189,Tx.tec.performance.protocols.HOST,Latency time for Sending a Message
36,RoutingDataSizeInBytesDelivered,2021-12-20T00:00:00.0000000Z,389,6333336,,,16281.0694087404,Not.classified,Not.verified
37,RoutingDataSizeInBytesDelivered,2021-12-20T00:01:00.0000000Z,415,6749257,,,16263.2698795181,Not.classified,Not.verified
38,RoutingDataSizeInBytesDelivered,2021-12-20T00:02:00.0000000Z,424,7461790,,,17598.5613207547,Not.classified,Not.verified
39,dailyMessageQuotaUsed,2021-12-20T00:00:00.0000000Z,39,113670482,2913331.0,2916307.0,2914627.74358974,Tx.tec.performance.protocols.NETWORK,Number of messages sent
40,dailyMessageQuotaUsed,2021-12-20T00:01:00.0000000Z,23,8005,15.0,1688.0,348.04347826087,Tx.tec.performance.protocols.NETWORK,Number of messages sent
41,dailyMessageQuotaUsed,2021-12-20T00:02:00.0000000Z,36,60732,15.0,2944.0,1687.0,Tx.tec.performance.protocols.NETWORK,Number of messages sent
42,deviceDataUsage,2021-12-20T00:00:00.0000000Z,527,5447630,2.0,32695.0,10337.0588235294,Tx.tec.performance.protocols.NETWORK,Daily amount of transferred bytes
43,deviceDataUsage,2021-12-20T00:01:00.0000000Z,557,5813598,2.0,43657.0,10437.3393177738,Tx.tec.performance.protocols.NETWORK,Daily amount of transferred bytes
44,deviceDataUsage,2021-12-20T00:02:00.0000000Z,575,6484768,2.0,32702.0,11277.8573913043,Tx.tec.performance.protocols.NETWORK,Daily amount of transferred bytes
45,deviceDataUsageV2,2021-12-20T00:00:00.0000000Z,528,5461851,2.0,32695.0,10344.4147727273,Tx.tec.performance.protocols.NETWORK,Daily amount of transferred bytes
46,deviceDataUsageV2,2021-12-20T00:01:00.0000000Z,557,5813598,2.0,43657.0,10437.3393177738,Tx.tec.performance.protocols.NETWORK,Daily amount of transferred bytes
47,deviceDataUsageV2,2021-12-20T00:02:00.0000000Z,575,6484768,2.0,32702.0,11277.8573913043,Tx.tec.performance.protocols.NETWORK,Daily amount of transferred bytes
48,totalDeviceCount,2021-12-20T00:00:00.0000000Z,12,14,1.0,2.0,1.16666666666667,Tx.tec.performance.protocols.HOST,Number of devices registered
49,totalDeviceCount,2021-12-20T00:01:00.0000000Z,12,14,1.0,2.0,1.16666666666667,Tx.tec.performance.protocols.HOST,Number of devices registered
50,totalDeviceCount,2021-12-20T00:02:00.0000000Z,12,14,1.0,2.0,1.16666666666667,Tx.tec.performance.protocols.HOST,Number of devices registered
51,connectedDeviceCount,2021-12-20T00:00:00.0000000Z,11,13,1.0,2.0,1.18181818181818,Tx.tec.performance.protocols.NETWORK,Number of connections alive equal to number of connections registered
52,connectedDeviceCount,2021-12-20T00:01:00.0000000Z,11,13,1.0,2.0,1.18181818181818,Tx.tec.performance.protocols.NETWORK,Number of connections alive equal to number of connections registered
53,connectedDeviceCount,2021-12-20T00:02:00.0000000Z,11,13,1.0,2.0,1.18181818181818,Tx.tec.performance.protocols.NETWORK,Number of connections alive equal to number of connections registered
54,d2c.telemetry.ingress.allProtocol,2021-12-20T00:03:00.0000000Z,546,546,1.0,1.0,1.0,Not.classified,Not.verified
55,d2c.telemetry.ingress.allProtocol,2021-12-20T00:04:00.0000000Z,573,573,1.0,1.0,1.0,Not.classified,Not.verified
56,d2c.telemetry.ingress.allProtocol,2021-12-20T00:05:00.0000000Z,543,543,1.0,1.0,1.0,Not.classified,Not.verified
57,d2c.telemetry.ingress.success,2021-12-20T00:03:00.0000000Z,546,546,1.0,1.0,1.0,Not.classified,Not.verified
58,d2c.telemetry.ingress.success,2021-12-20T00:04:00.0000000Z,573,573,1.0,1.0,1.0,Not.classified,Not.verified
59,d2c.telemetry.ingress.success,2021-12-20T00:05:00.0000000Z,543,543,1.0,1.0,1.0,Not.classified,Not.verified
60,devices.totalDevices,2021-12-20T00:03:00.0000000Z,12,14,1.0,2.0,1.16666666666667,Tx.tec.performance.computer-elements.CPU,Number of devices registered
61,devices.totalDevices,2021-12-20T00:04:00.0000000Z,12,14,1.0,2.0,1.16666666666667,Tx.tec.performance.computer-elements.CPU,Number of devices registered
